sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
completeness_PARTIAL_2026-06-29T13:55:00+03:00,2026-06-29 13:55:00+03:00,completeness_PARTIAL,PARTIAL,Acceptable,32.8203325710598,0.7,PARTIAL,32.8203325710598,Acceptable
completeness_PARTIAL_2026-07-03T01:35:00+03:00,2026-07-03 01:35:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-13T20:35:00+03:00,2026-07-13 20:35:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-18T11:50:00+03:00,2026-07-18 11:50:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-27T19:40:00+03:00,2026-07-27 19:40:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
data_quality_event_2026-06-27T22:50:00+03:00,2026-06-27 22:50:00+03:00,data_quality_event,FAILED,,,0.7,PARTIAL,87.49689020838422,Critical
data_quality_event_2026-07-01T01:10:00+03:00,2026-07-01 01:10:00+03:00,data_quality_event,FAILED,,,0.7,FAILED,,
data_quality_event_2026-07-01T08:30:00+03:00,2026-07-01 08:30:00+03:00,data_quality_event,FAILED,,,0.7,FAILED,,
data_quality_event_2026-07-04T05:20:00+03:00,2026-07-04 05:20:00+03:00,data_quality_event,FAILED,,,0.7,FAILED,,
data_quality_event_2026-08-02T18:55:00+03:00,2026-08-02 18:55:00+03:00,data_quality_event,PARTIAL,Degraded,62.5,0.7,PARTIAL,62.5,Degraded
outdoor_context_fresh_2026-06-19T15:05:00+03:00,2026-06-19 15:05:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_fresh_2026-07-20T05:40:00+03:00,2026-07-20 05:40:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_fresh_2026-07-30T10:15:00+03:00,2026-07-30 10:15:00+03:00,outdoor_context_fresh,PARTIAL,Acceptable,37.5,0.7,PARTIAL,37.5,Acceptable
outdoor_context_fresh_2026-07-31T08:55:00+03:00,2026-07-31 08:55:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_fresh_2026-07-31T19:40:00+03:00,2026-07-31 19:40:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-07-23T23:00:00+03:00,2026-07-23 23:00:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-07-24T08:35:00+03:00,2026-07-24 08:35:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-07-25T06:50:00+03:00,2026-07-25 06:50:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favourable
outdoor_context_stale_2026-08-04T03:20:00+03:00,2026-08-04 03:20:00+03:00,outdoor_context_stale,PARTIAL,Acceptable,37.5,0.7,PARTIAL,37.5,Acceptable
outdoor_context_stale_2026-08-04T06:45:00+03:00,2026-08-04 06:45:00+03:00,outdoor_context_stale,PARTIAL,Acceptable,32.70205814377695,0.7,PARTIAL,32.70205814377695,Acceptable
